date_kst,log_type,logs,unique_runs,unique_target_rounds,scored_logs,score_coverage,avg_score,median_score,score_std,best_score,p25_score,p75_score,avg_gap_factor,avg_probability_weight
2026-05-04,prediction,100,1,1,100,1.0,26.5539,26.4675,0.5412,28.6803,26.1311,26.7553,1.0191,1.1396
2026-05-04,probability,100,1,1,100,1.0,-5.1751,-5.1867,0.053,-4.9287,-5.22,-5.1437,1.0083,1.0144
2026-04-29,analysis,2,2,1,0,0.0,,,,,,,,
2026-04-29,prediction,10,2,1,10,1.0,27.8535,27.8046,0.3278,28.727,27.6303,27.9401,1.0253,1.2414
2026-04-29,probability,10,2,1,10,1.0,-5.0292,-5.0161,0.058,-4.9323,-5.0711,-4.9902,1.0143,1.0244
2026-04-27,analysis,6,6,2,0,0.0,,,,,,,,
2026-04-23,analysis,8,8,1,0,0.0,,,,,,,,
2026-04-22,analysis,3,3,1,0,0.0,,,,,,,,
2026-04-22,manual,1,1,1,1,1.0,-5.9388,-5.9388,0.0,-5.9388,-5.9388,-5.9388,1.0161,1.054
2026-04-22,prediction,5,1,1,5,1.0,11.9693,11.9519,0.0535,12.0485,11.9301,12.0123,1.024,1.2277
2026-04-22,probability,5,1,1,5,1.0,-4.8649,-4.8705,0.0225,-4.8236,-4.8716,-4.867,1.0082,0.9317
2026-04-21,analysis,4,4,1,0,0.0,,,,,,,,
2026-04-21,probability,5,1,1,5,1.0,3.4283,3.4211,0.0358,3.4907,3.4085,3.4376,1.0149,0.9719
2026-04-20,analysis,15,15,2,0,0.0,,,,,,,,
