weekday_kst,log_type,logs,unique_runs,unique_target_rounds,scored_logs,score_coverage,avg_score,median_score,score_std,best_score,p25_score,p75_score,avg_gap_factor,avg_probability_weight
월,analysis,21,21,3,0,0.0,,,,,,,,
월,prediction,100,1,1,100,1.0,26.5539,26.4675,0.5412,28.6803,26.1311,26.7553,1.0191,1.1396
월,probability,100,1,1,100,1.0,-5.1751,-5.1867,0.053,-4.9287,-5.22,-5.1437,1.0083,1.0144
화,analysis,4,4,1,0,0.0,,,,,,,,
화,probability,5,1,1,5,1.0,3.4283,3.4211,0.0358,3.4907,3.4085,3.4376,1.0149,0.9719
수,analysis,5,5,2,0,0.0,,,,,,,,
수,manual,1,1,1,1,1.0,-5.9388,-5.9388,0.0,-5.9388,-5.9388,-5.9388,1.0161,1.054
수,prediction,15,3,2,15,1.0,22.5588,27.6245,7.4928,28.727,12.0304,27.8464,1.0248,1.2369
수,probability,15,3,2,15,1.0,-4.9744,-4.986,0.0917,-4.8236,-5.0477,-4.8818,1.0123,0.9935
목,analysis,8,8,1,0,0.0,,,,,,,,
